TASK_W6KEY,TASK_NUMBER,ORDER_NUMBER
5000352,12,1352
5000353,1,1353
5000354,7,1354
5000355,2,1355
5000356,1,1356
5000357,3,1357
5000358,2,1358
5000359,1,1359
5000360,2,1360
5000361,14,1361
5000362,1,1362
5000363,2,1363
5000364,15,1364
5000365,2,1365
5000366,1,1366
5000367,2,1367
5000368,1,1368
5000369,2,1369
5000370,3,1370
5000371,2,1371
5000372,1,1372
5000373,1,1373
5000374,38,1374
5000375,1,1375
5000376,1,1376
5000377,1,1377
5000378,38,1378
5000379,1,1379
5000380,3,1380
5000381,1,1381
5000382,3,1382
5000383,1,1383
5000384,11,1384
5000385,1,1385
5000386,1,1386
5000387,1,1387
5000388,5,1388
5000389,2,1389
5000390,2,1390
5000391,2,1391
5000392,2,1392
5000393,2,1393
5000394,12,1394
5000395,3,1395
5000396,2,1396
5000397,3,1397
5000398,3,1398
5000399,5,1399
5000400,2,1400
5000401,1,1401
5000402,1,1402
5000403,1,1403
5000404,3,1404
5000405,4,1405
5000406,6,1406
5000407,1,1407
5000408,13,1408
5000409,3,1409
5000410,4,1410
5000411,1,1411
5000412,4,1412
5000413,7,1413
5000414,5,1414
5000415,2,1415
5000416,1,1416
5000417,8,1417
5000418,6,1418
5000419,5,1419
5000420,9,1420
5000421,1,1421
5000422,7,1422
5000423,10,1423
5000424,8,1424
5000425,11,1425
5000426,5,1426
5000427,1,1427
5000428,8,1428
5000429,14,1429
5000430,1,1430
5000431,1,1431
5000432,14,1432
5000433,5,1433
5000434,9,1434
5000435,1,1435
5000436,2,1436
5000437,2,1437
5000438,2,1438
5000439,1,1439
5000440,1,1440
5000441,33,1441
5000442,1,1442
5000443,13,1443
5000444,1,1444
5000445,2,1445
5000446,2,1446
5000447,3,1447
5000448,2,1448
5000449,4,1449
5000450,1,1450
5000451,3,1451
5000452,34,1452
5000453,1,1453
5000454,3,1454
5000455,3,1455
5000456,3,1456
5000457,1,1457
5000458,2,1458
5000459,2,1459
5000460,1,1460
5000461,3,1461
5000462,4,1462
5000463,35,1463
5000464,1,1464
5000465,5,1465
5000466,1,1466
5000467,1,1467
5000468,3,1468
5000469,3,1469
5000470,2,1470
5000471,36,1471
5000472,4,1472
5000473,2,1473
5000474,6,1474
5000475,2,1475
5000476,6,1476
5000477,3,1477
5000478,5,1478
5000479,4,1479
5000480,5,1480
5000481,8,1481
5000482,37,1482
5000483,7,1483
5000484,1,1484
5000485,1,1485
5000486,6,1486
5000487,13,1487
5000488,9,1488
5000489,1,1489
5000490,2,1490
5000491,1,1491
5000492,1,1492
5000493,10,1493
5000494,1,1494
5000495,5,1495
5000496,1,1496
5000497,1,1497
5000498,13,1498
5000499,1,1499
5000500,1,1500
5000501,2,1501
5000502,9,1502
5000503,1,1503
5000504,1,1504
5000505,17,1505
5000506,1,1506
5000507,10,1507
5000508,1,1508
5000509,3,1509
5000510,1,1510
5000511,1,1511
5000512,1,1512
5000513,2,1513
5000514,2,1514
5000515,3,1515
5000516,13,1516
5000517,1,1517
5000518,5,1518
5000519,2,1519
5000520,1,1520
5000521,8,1521
5000522,3,1522
5000523,10,1523
5000524,8,1524
5000525,1,1525
5000526,14,1526
5000527,9,1527
5000528,4,1528
5000529,1,1529
5000530,1,1530
5000531,3,1531
5000532,2,1532
5000533,3,1533
5000534,2,1534
5000535,3,1535
5000536,3,1536
5000537,2,1537
5000538,1,1538
5000539,1,1539
5000540,2,1540
5000541,9,1541
5000542,9,1542
5000543,4,1543
5000544,4,1544
5000545,15,1545
5000546,4,1546
5000547,9,1547
5000548,3,1548
5000549,10,1549
5000550,1,1550
5000551,2,1551
5000552,3,1552
5000553,2,1553
5000554,3,1554
5000555,9,1555
5000556,2,1556
5000557,1,1557
5000558,17,1558
5000559,1,1559
5000560,3,1560
5000561,1,1561
5000562,1,1562
5000563,4,1563
5000564,1,1564
5000565,19,1565
5000566,5,1566
5000567,1,1567
5000568,2,1568
5000569,2,1569
5000570,2,1570
5000571,3,1571
5000572,3,1572
5000573,1,1573
5000574,1,1574
5000575,4,1575
5000576,19,1576
5000577,5,1577
5000578,2,1578
5000579,1,1579
5000580,3,1580
5000581,6,1581
5000582,3,1582
5000583,1,1583
5000584,4,1584
5000585,2,1585
5000586,1,1586
5000587,1,1587
5000588,1,1588
5000589,1,1589
5000590,1,1590
5000591,1,1591
5000592,2,1592
5000593,6,1593
5000594,6,1594
5000595,3,1595
5000596,3,1596
5000597,4,1597
5000598,5,1598
5000599,1,1599
5000600,1,1600
5000601,5,1601
5000602,1,1602
5000603,4,1603
5000604,6,1604
5000605,5,1605
5000606,2,1606
5000607,4,1607
5000608,1,1608
5000609,2,1609
5000610,1,1610
5000611,1,1611
5000612,1,1612
5000613,1,1613
5000614,1,1614
5000615,1,1615
5000616,6,1616
5000617,2,1617
5000618,1,1618
5000619,2,1619
5000620,1,1620
5000621,4,1621
5000622,1,1622
5000623,2,1623
5000624,4,1624
5000625,7,1625
5000626,2,1626
5000627,2,1627
5000628,3,1628
5000629,1,1629
5000630,2,1630
5000631,3,1631
5000632,1,1632
5000633,5,1633
5000634,4,1634
5000635,2,1635
5000636,2,1636
5000637,3,1637
5000638,1,1638
5000639,1,1639
5000640,3,1640
5000641,2,1641
5000642,3,1642
5000643,1,1643
5000644,4,1644
5000645,1,1645
5000646,4,1646
5000647,9,1647
5000648,2,1648
5000649,5,1649
5000650,3,1650
5000651,1,1651
5000652,1,1652
5000653,3,1653
5000654,1,1654
5000655,1,1655
5000656,7,1656
5000657,9,1657
5000658,6,1658
5000659,1,1659
5000660,8,1660
5000661,1,1661
5000662,1,1662
5000663,6,1663
5000664,1,1664
5000665,1,1665
5000666,3,1666
5000667,2,1667
5000668,1,1668
5000669,9,1669
5000670,1,1670
5000671,3,1671
5000672,1,1672
5000673,1,1673
5000674,1,1674
5000675,8,1675
5000676,7,1676
5000677,2,1677
5000678,1,1678
5000679,3,1679
5000680,1,1680
5000681,1,1681
5000682,1,1682
5000683,2,1683
5000684,7,1684
5000685,2,1685
5000686,3,1686
5000687,3,1687
5000688,4,1688
5000689,2,1689
5000690,1,1690
5000691,3,1691
5000692,1,1692
5000693,1,1693
5000694,12,1694
5000695,11,1695
5000696,3,1696
5000697,9,1697
5000698,1,1698
5000699,20,1699
5000700,7,1700
5000701,7,1701
5000702,3,1702
5000703,12,1703
5000704,1,1704
5000705,6,1705
5000706,1,1706
5000707,9,1707
5000708,18,1708
5000709,3,1709
5000710,1,1710
5000711,1,1711
5000712,1,1712
5000713,2,1713
5000714,1,1714
5000715,1,1715
5000716,7,1716
5000717,11,1717
5000718,3,1718
5000719,1,1719
5000720,1,1720
5000721,2,1721
5000722,3,1722
5000723,4,1723
5000724,8,1724
5000725,4,1725
5000726,4,1726
5000727,5,1727
5000728,6,1728
5000729,2,1729
5000730,20,1730
5000731,3,1731
5000732,1,1732
5000733,1,1733
5000734,1,1734
5000735,1,1735
5000736,1,1736
5000737,1,1737
5000738,1,1738
5000739,1,1739
5000740,9,1740
5000741,2,1741
5000742,2,1742
5000743,2,1743
5000744,3,1744
5000745,10,1745
5000746,4,1746
5000747,5,1747
5000748,11,1748
5000749,18,1749
5000750,1,1750
5000751,1,1751
5000752,13,1752
5000753,3,1753
5000754,5,1754
5000755,3,1755
5000756,2,1756
5000757,2,1757
5000758,1,1758
5000759,4,1759
5000760,2,1760
5000761,5,1761
5000762,3,1762
5000763,3,1763
5000764,1,1764
5000765,1,1765
5000766,13,1766
5000767,3,1767
5000768,14,1768
5000769,2,1769
5000770,15,1770
5000771,3,1771
5000772,4,1772
5000773,16,1773
5000774,1,1774
5000775,1,1775
5000776,2,1776
5000777,1,1777
5000778,3,1778
5000779,10,1779
5000780,1,1780
5000781,1,1781
5000782,1,1782
5000783,1,1783
5000784,38,1784
5000785,2,1785
5000786,25,1786
5000787,3,1787
5000788,1,1788
5000789,3,1789
5000790,1,1790
5000791,25,1791
5000792,1,1792
5000793,2,1793
5000794,11,1794
5000795,1,1795
5000796,11,1796
5000797,1,1797
5000798,3,1798
5000799,2,1799
5000800,2,1800
5000801,17,1801
5000802,2,1802
5000803,1,1803
5000804,1,1804
5000805,18,1805
5000806,4,1806
5000807,2,1807
5000808,3,1808
5000809,2,1809
5000810,1,1810
